highway,name,lat,lon
,西淡三原IC,34.312632,134.75232
,淡路島南IC,34.259488,134.684014
,鳴門北IC,34.220791,134.626389
,水島IC,34.530915,133.803026
,児島IC,34.451723,133.799843
,坂出北IC,34.319369,133.83541
,尾道大橋IC,34.418287,133.219243
,因島北IC,34.33826,133.160668
,因島南IC,34.307584,133.154475
,生口島北IC,34.300853,133.146451
,生口島南IC,34.262448,133.092586
,大三島IC,34.24927,133.048713
,伯方島IC,34.204013,133.078738
,今治北IC,34.097432,132.977732
,今治IC,34.055085,132.97652
,吉田掛合IC,35.197642,132.844227
,鶴岡JCT,38.754779,139.781028
,中土佐IC,33.343221,133.222433
,香南やすIC,33.537684,133.761766
,芸西西IC,33.520445,133.782411
,白岡菖蒲IC,36.046581,139.622497
,久喜白岡JCT,36.049184,139.657947
,佐々IC,33.226974,129.644782
,むかわ穂別IC,42.919077,142.196074
,森IC,42.083781,140.571805
,二井田真中IC,40.250495,140.51609
,鳳来峡IC,34.997942,137.665586
,渋川寺野IC,34.940025,137.667189
,浜松いなさ北IC,34.888606,137.669077
,三間IC,33.283922,132.591435
,日高門別IC,42.49281257803723,142.08890045411803
,鶴岡西IC,38.717455,139.75907
,三瀬IC,38.688366,139.669923
,いらがわIC,38.667337,139.624873
,あつみ温泉IC,38.604573,139.585693
,北斗茂辺地IC,41.76577256884365,140.59062579607945
,三島加茂IC,35.139909,138.938318
,唐津千々賀山田IC,33.402997,129.954695
,松江JCT,35.448026,133.093649
,橿原高田IC,34.49339,135.76122
,船見IC,35.07362,136.897226
,東海新宝IC,35.056651,136.898905
,阿賀IC,34.236357,132.60698
,郷原IC,34.304097,132.625546
,南相馬IC,37.658466,140.920042
,相馬IC,37.7821614,140.89470316
,三ケ日JCT,34.826058,137.545144
,浜松いなさIC,34.874658,137.644333
,浜松いなさJCT,34.882118,137.660242
,浜松SASIC,34.84233,137.748925
,浜松浜北IC,34.834497,137.813974
,森掛川IC,34.825079,137.942557
,島田金谷IC,34.849786,138.121252
,藤枝岡部IC,34.915851,138.261361
,静岡SASIC,34.972918,138.293059
,新静岡IC,35.041571,138.378063
,新清水JCT,35.07778217677859,138.46274855805356
,新清水IC,35.146728,138.522584
,新富士IC,35.202546,138.66148
,長泉沼津IC,35.156847,138.867437
,御殿場JCT,35.263409271353325,138.91120411328953
,清水いはらIC,35.068387,138.478362
,清水JCT,35.046967,138.488804
,白山IC,36.553194,136.580213
,栄SIC,37.60621,138.909644
,大垣西IC,35.369549448629385,136.5868455373025
,養老JCT,35.317953523015206,136.58005557196736
,仁賀保IC,39.295117,139.976507
,大沼公園IC,42.007012,140.622539
,養父IC,35.361048,134.760737
,八鹿氷ノ山IC,35.391392878505854,134.74712047507649
,江刺田瀬IC,39.29078,141.273396
,宮守IC,39.293791,141.403681
,仙台港IC,38.269942,140.977819
,四万十町中央IC,33.23018,133.156441
,四万十町東IC,33.2792,133.179709
,北川IC,32.664431,131.706472
,須美江IC,32.677831,131.76043
